"V1","V2","ID1","pi","nSNP"
"Mp4g14720.1","KEGG:K01662:dxs, 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]; KOG:KOG0523:Transketolase, [G]; TIGRFAM:TIGR00204:dxs: 1-deoxy-D-xylulose-5-phosphate synthase; CDD:cd02007:TPP_DXS; Pfam:PF02779:Transketolase, pyrimidine binding domain; SMART:SM00861:Transket_pyr_3; G3DSA:3.40.50.920; PANTHER:PTHR43322:1-D-DEOXYXYLULOSE 5-PHOSPHATE SYNTHASE-RELATED; G3DSA:3.40.50.970; SUPERFAMILY:SSF52922:TK C-terminal domain-like; Pfam:PF02780:Transketolase, C-terminal domain; CDD:cd07033:TPP_PYR_DXS_TK_like; SUPERFAMILY:SSF52518:Thiamin diphosphate-binding fold (THDP-binding); PTHR43322:SF4:1-DEOXY-D-XYLULOSE-5-PHOSPHATE SYNTHASE 2, CHLOROPLASTIC-RELATED; Pfam:PF13292:1-deoxy-D-xylulose-5-phosphate synthase; ProSitePatterns:PS00801:Transketolase signature 1.; Hamap:MF_00315:1-deoxy-D-xylulose-5-phosphate synthase [dxs].; ProSitePatterns:PS00802:Transketolase signature 2.; GO:0016114:terpenoid biosynthetic process; GO:0003824:catalytic activity; GO:0008661:1-deoxy-D-xylulose-5-phosphate synthase activity; MapolyID:Mapoly0070s0009","Mp4g14720","0.0003809520"," 2"
"Mp4g14730.1","KEGG:K17506:PPM1L, PP2CE, protein phosphatase 1L [EC:3.1.3.16]; KOG:KOG0698:Serine/threonine protein phosphatase, [T]; PANTHER:PTHR13832:PROTEIN PHOSPHATASE 2C; CDD:cd00143:PP2Cc; SUPERFAMILY:SSF81606:PP2C-like; G3DSA:3.60.40.10:Phosphatase 2c, Domain 1; ProSiteProfiles:PS51746:PPM-type phosphatase domain profile.; Pfam:PF00481:Protein phosphatase 2C; PTHR13832:SF680:PROTEIN PHOSPHATASE 2C 44-RELATED; SMART:SM00332:PP2C_4; GO:0016791:phosphatase activity; GO:0004722:protein serine/threonine phosphatase activity; GO:0006470:protein dephosphorylation; MapolyID:Mapoly0070s0008","Mp4g14730",NA,NA
"Mp4g14730.2","KEGG:K17506:PPM1L, PP2CE, protein phosphatase 1L [EC:3.1.3.16]; KOG:KOG0698:Serine/threonine protein phosphatase, C-term missing, [T]; CDD:cd00143:PP2Cc; ProSiteProfiles:PS51746:PPM-type phosphatase domain profile.; PTHR13832:SF668:PROTEIN PHOSPHATASE 2C 39-RELATED; PANTHER:PTHR13832:PROTEIN PHOSPHATASE 2C; G3DSA:3.60.40.10:Phosphatase 2c, Domain 1; Pfam:PF00481:Protein phosphatase 2C; SMART:SM00332:PP2C_4; SUPERFAMILY:SSF81606:PP2C-like; GO:0016791:phosphatase activity; GO:0004722:protein serine/threonine phosphatase activity; GO:0006470:protein dephosphorylation; MapolyID:Mapoly0070s0008","Mp4g14730",NA,NA
"Mp4g14730.3","KEGG:K17506:PPM1L, PP2CE, protein phosphatase 1L [EC:3.1.3.16]; KOG:KOG0698:Serine/threonine protein phosphatase, C-term missing, [T]; CDD:cd00143:PP2Cc; SUPERFAMILY:SSF81606:PP2C-like; SMART:SM00332:PP2C_4; G3DSA:3.60.40.10:Phosphatase 2c, Domain 1; Pfam:PF00481:Protein phosphatase 2C; PANTHER:PTHR13832:PROTEIN PHOSPHATASE 2C; PTHR13832:SF668:PROTEIN PHOSPHATASE 2C 39-RELATED; ProSiteProfiles:PS51746:PPM-type phosphatase domain profile.; GO:0016791:phosphatase activity; GO:0004722:protein serine/threonine phosphatase activity; GO:0006470:protein dephosphorylation; MapolyID:Mapoly0070s0008","Mp4g14730",NA,NA
"Mp4g14740.1","MapolyID:Mapoly0070s0007","Mp4g14740",NA,NA
"Mp4g14750.1","KEGG:K10879:XRCC2, DNA-repair protein XRCC2; KOG:KOG2859:DNA repair protein, member of the recA/RAD51 family, [L]; Pfam:PF08423:Rad51; PANTHER:PTHR46644:DNA REPAIR PROTEIN XRCC2; ProSiteProfiles:PS50162:RecA family profile 1.; SUPERFAMILY:SSF52540:P-loop containing nucleoside triphosphate hydrolases; GO:0005657:replication fork; GO:0005524:ATP binding; GO:0033063:Rad51B-Rad51C-Rad51D-XRCC2 complex; GO:0006281:DNA repair; GO:0003677:DNA binding; GO:0008094:DNA-dependent ATPase activity; GO:0000724:double-strand break repair via homologous recombination; MapolyID:Mapoly0070s0006","Mp4g14750",NA,NA
"Mp4g14760.1","KOG:KOG0274:Cdc4 and related F-box and WD-40 proteins, N-term missing, [R]; KOG:KOG0266:WD40 repeat-containing protein, N-term missing, [R]; Pfam:PF00400:WD domain, G-beta repeat; ProSiteProfiles:PS50082:Trp-Asp (WD) repeats profile.; ProSiteProfiles:PS50294:Trp-Asp (WD) repeats circular profile.; ProSitePatterns:PS00678:Trp-Asp (WD) repeats signature.; Coils:Coil; SMART:SM00320:WD40_4; SUPERFAMILY:SSF50998:Quinoprotein alcohol dehydrogenase-like; PRINTS:PR00320:G protein beta WD-40 repeat signature; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF50978:WD40 repeat-like; G3DSA:2.130.10.10; PANTHER:PTHR44129; GO:0005515:protein binding; MapolyID:Mapoly0070s0005","Mp4g14760",NA,NA
"Mp4g14780.1","MapolyID:Mapoly0119s0004","Mp4g14780","0.0015238100"," 4"
"Mp4g17090.1","KEGG:K19043:RHF, E3 ubiquitin-protein ligase RHF [EC:2.3.2.27]; KOG:KOG4628:Predicted E3 ubiquitin ligase, N-term missing, [O]; Pfam:PF13639:Ring finger domain; G3DSA:3.30.40.10:Zinc/RING finger domain; MobiDBLite:consensus disorder prediction; ProSiteProfiles:PS50089:Zinc finger RING-type profile.; PANTHER:PTHR46463:ZINC FINGER, RING/FYVE/PHD-TYPE; SUPERFAMILY:SSF57850:RING/U-box; SMART:SM00184:ring_2; PTHR46463:SF27:E3 UBIQUITIN-PROTEIN LIGASE RHF2A; MapolyID:Mapoly0148s0010","Mp4g17090","0.0018157134","33"
"Mp4g17090.2","KEGG:K19043:RHF, E3 ubiquitin-protein ligase RHF [EC:2.3.2.27]; KOG:KOG4628:Predicted E3 ubiquitin ligase, N-term missing, [O]; PTHR46463:SF27:E3 UBIQUITIN-PROTEIN LIGASE RHF2A; SUPERFAMILY:SSF57850:RING/U-box; Pfam:PF13639:Ring finger domain; G3DSA:3.30.40.10:Zinc/RING finger domain; MobiDBLite:consensus disorder prediction; ProSiteProfiles:PS50089:Zinc finger RING-type profile.; SMART:SM00184:ring_2; PANTHER:PTHR46463:ZINC FINGER, RING/FYVE/PHD-TYPE; MapolyID:Mapoly0148s0010","Mp4g17090","0.0018157134","33"
"Mp4g17100.1","KOG:KOG0532:Leucine-rich repeat (LRR) protein, contains calponin homology domain, C-term missing, [Z]; PTHR27000:SF728:LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN; SUPERFAMILY:SSF52058:L domain-like; PANTHER:PTHR27000:LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE FAMILY PROTEIN-RELATED; G3DSA:3.80.10.10:Ribonuclease Inhibitor; MapolyID:Mapoly0148s0009","Mp4g17100","0.0026827710","20"
"Mp4g17110.1","KEGG:K01754:E4.3.1.19, ilvA, tdcB, threonine dehydratase [EC:4.3.1.19]; KOG:KOG1250:Threonine/serine dehydratases, [E]; CDD:cd04907:ACT_ThrD-I_2; Pfam:PF00291:Pyridoxal-phosphate dependent enzyme; TIGRFAM:TIGR01124:ilvA_2Cterm: threonine ammonia-lyase, biosynthetic; ProSiteProfiles:PS51672:ACT-like domain profile.; SUPERFAMILY:SSF53686:Tryptophan synthase beta subunit-like PLP-dependent enzymes; Pfam:PF00585:C-terminal regulatory domain of Threonine dehydratase; CDD:cd01562:Thr-dehyd; ProSitePatterns:PS00165:Serine/threonine dehydratases pyridoxal-phosphate attachment site.; G3DSA:3.40.50.1100; MobiDBLite:consensus disorder prediction; CDD:cd04906:ACT_ThrD-I_1; PANTHER:PTHR48078:THREONINE DEHYDRATASE, MITOCHONDRIAL-RELATED; SUPERFAMILY:SSF55021:ACT-like; PTHR48078:SF15:THREONINE DEHYDRATASE; G3DSA:3.40.1020.10:Biosynthetic Threonine Deaminase, Domain 3; GO:0006520:cellular amino acid metabolic process; GO:0004794:L-threonine ammonia-lyase activity; GO:0030170:pyridoxal phosphate binding; GO:0009097:isoleucine biosynthetic process; MapolyID:Mapoly0148s0008","Mp4g17110","0.0012925876","20"
"Mp4g17120.1","KEGG:K11000:CALS, callose synthase [EC:2.4.1.-]; KOG:KOG0916:1,3-beta-glucan synthase/callose synthase catalytic subunit, [M]; Pfam:PF02364:1,3-beta-glucan synthase component; SMART:SM01205:FKS1_dom1_2; Pfam:PF14288:1,3-beta-glucan synthase subunit FKS1, domain-1; PANTHER:PTHR12741:LYST-INTERACTING PROTEIN LIP5  DOPAMINE RESPONSIVE PROTEIN DRG-1; PTHR12741:SF88:BNAC03G35120D PROTEIN; GO:0003843:1,3-beta-D-glucan synthase activity; GO:0016020:membrane; GO:0000148:1,3-beta-D-glucan synthase complex; GO:0006075:(1->3)-beta-D-glucan biosynthetic process; MapolyID:Mapoly0148s0007","Mp4g17120","0.0011008893","36"
"Mp4g17130.1","KOG:KOG2974:Uncharacterized conserved protein, N-term missing, [S]; MobiDBLite:consensus disorder prediction; Coils:Coil; PANTHER:PTHR13245:RRP15-LIKE PROTEIN; Pfam:PF07890:Rrp15p; GO:0006364:rRNA processing; MapolyID:Mapoly0148s0006","Mp4g17130","0.0025366425","24"
"Mp4g17140.1","MapolyID:Mapoly0148s0005","Mp4g17140","0.0030333283","41"
"Mp4g17150.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0148s0004","Mp4g17150","0.0028439467","21"
"Mp4g17160.1","KEGG:K19045:BB, E3 ubiquitin-protein ligase BIG BROTHER and related proteins [EC:2.3.2.27]; KOG:KOG4628:Predicted E3 ubiquitin ligase, N-term missing, [O]; MobiDBLite:consensus disorder prediction; SMART:SM00184:ring_2; PANTHER:PTHR47530:E3 UBIQUITIN LIGASE BIG BROTHER-RELATED; CDD:cd16454:RING-H2_PA-TM-RING; Coils:Coil; ProSiteProfiles:PS50089:Zinc finger RING-type profile.; Pfam:PF13639:Ring finger domain; PTHR47530:SF4:E3 UBIQUITIN LIGASE BIG BROTHER-RELATED; SUPERFAMILY:SSF57850:RING/U-box; G3DSA:3.30.40.10:Zinc/RING finger domain; MapolyID:Mapoly0148s0003","Mp4g17160","0.0020577982","24"
"Mp4g17160.2","KEGG:K19045:BB, E3 ubiquitin-protein ligase BIG BROTHER and related proteins [EC:2.3.2.27]; KOG:KOG4628:Predicted E3 ubiquitin ligase, N-term missing, [O]; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF57850:RING/U-box; PTHR47530:SF4:E3 UBIQUITIN LIGASE BIG BROTHER-RELATED; SMART:SM00184:ring_2; Coils:Coil; Pfam:PF13639:Ring finger domain; ProSiteProfiles:PS50089:Zinc finger RING-type profile.; G3DSA:3.30.40.10:Zinc/RING finger domain; CDD:cd16454:RING-H2_PA-TM-RING; PANTHER:PTHR47530:E3 UBIQUITIN LIGASE BIG BROTHER-RELATED; MapolyID:Mapoly0148s0003","Mp4g17160","0.0020577982","24"
"Mp4g17160.3","KEGG:K19045:BB, E3 ubiquitin-protein ligase BIG BROTHER and related proteins [EC:2.3.2.27]; KOG:KOG4628:Predicted E3 ubiquitin ligase, N-term missing, [O]; CDD:cd16454:RING-H2_PA-TM-RING; SUPERFAMILY:SSF57850:RING/U-box; Pfam:PF13639:Ring finger domain; SMART:SM00184:ring_2; ProSiteProfiles:PS50089:Zinc finger RING-type profile.; MobiDBLite:consensus disorder prediction; PANTHER:PTHR47530:E3 UBIQUITIN LIGASE BIG BROTHER-RELATED; G3DSA:3.30.40.10:Zinc/RING finger domain; PTHR47530:SF4:E3 UBIQUITIN LIGASE BIG BROTHER-RELATED; Coils:Coil; MapolyID:Mapoly0148s0003","Mp4g17160","0.0020577982","24"
"Mp4g17170.1","PANTHER:PTHR34060:POLYKETIDE CYCLASE / DEHYDRASE AND LIPID TRANSPORT PROTEIN; MobiDBLite:consensus disorder prediction; CDD:cd08866:SRPBCC_11; SUPERFAMILY:SSF55961:Bet v1-like; Pfam:PF03364:Polyketide cyclase / dehydrase and lipid transport; G3DSA:3.30.530.20; PTHR34060:SF2:OS03G0837900 PROTEIN; MapolyID:Mapoly0148s0001; MPGENES:MpPPP1:transcription factor, PPP1","Mp4g17170","0.0011007691","26"
"Mp4g17170.2","SUPERFAMILY:SSF55961:Bet v1-like; MobiDBLite:consensus disorder prediction; Pfam:PF03364:Polyketide cyclase / dehydrase and lipid transport; PTHR34060:SF2:OS03G0837900 PROTEIN; PANTHER:PTHR34060:POLYKETIDE CYCLASE / DEHYDRASE AND LIPID TRANSPORT PROTEIN; CDD:cd08866:SRPBCC_11; G3DSA:3.30.530.20; MapolyID:Mapoly0148s0001","Mp4g17170","0.0011007691","26"
"Mp4g17180.1","KEGG:K00297:metF, MTHFR, methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]; MapolyID:Mapoly0148s0002","Mp4g17180","0.0011114567","10"
"Mp4g17190.1","MapolyID:Mapoly0041s0001","Mp4g17190","0.0015399033","11"
"Mp4g17200.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0041s0002","Mp4g17200","0.0009523810"," 2"
"Mp4g17210.1","KEGG:K09872:PIP, aquaporin PIP; KOG:KOG0223:Aquaporin (major intrinsic protein family), [G]; PTHR45687:SF8:PLASMA MEMBRANE AQUAPORIN; CDD:cd00333:MIP; PRINTS:PR00783:Major intrinsic protein family signature; PANTHER:PTHR45687:AQUAPORIN OR AQUAGLYCEROPORIN RELATED; TIGRFAM:TIGR00861:MIP: MIP family channel proteins; ProSitePatterns:PS00221:MIP family signature.; G3DSA:1.20.1080.10:Glycerol uptake facilitator protein.; SUPERFAMILY:SSF81338:Aquaporin-like; Pfam:PF00230:Major intrinsic protein; GO:0055085:transmembrane transport; GO:0016020:membrane; GO:0015267:channel activity; MapolyID:Mapoly0041s0003","Mp4g17210","0.0009763032"," 8"
"Mp4g17220.1","MapolyID:Mapoly0041s0004","Mp4g17220","0.0013018500","11"
"Mp4g17230.1","KEGG:K10391:TUBE, tubulin epsilon; KOG:KOG1374:Gamma tubulin, C-term missing, [Z]; ProSitePatterns:PS00227:Tubulin subunits alpha, beta, and gamma signature.; SMART:SM00864:Tubulin_4; Pfam:PF00091:Tubulin/FtsZ family, GTPase domain; MobiDBLite:consensus disorder prediction; PRINTS:PR01161:Tubulin signature; SUPERFAMILY:SSF52490:Tubulin nucleotide-binding domain-like; SUPERFAMILY:SSF55307:Tubulin C-terminal domain-like; G3DSA:3.40.50.1440; PTHR11588:SF13:TUBULIN EPSILON CHAIN; PRINTS:PR01519:Epsilon-tubulin signature; PANTHER:PTHR11588:TUBULIN; GO:0005874:microtubule; GO:0007017:microtubule-based process; GO:0003924:GTPase activity; GO:0005525:GTP binding; MapolyID:Mapoly0041s0005","Mp4g17230","0.0009702570","24"
"Mp4g17240.1","KEGG:K12180:COPS7, CSN7, COP9 signalosome complex subunit 7; KOG:KOG3250:COP9 signalosome, subunit CSN7, [OT]; G3DSA:1.25.40.570; ProSiteProfiles:PS50250:PCI domain profile.; PTHR15350:SF5:COP9 SIGNALOSOME COMPLEX SUBUNIT 7; Coils:Coil; SMART:SM00088:PINT_4; SMART:SM00753:motif in proteasome subunits, Int-6, Nip-1 and TRIP-15; PANTHER:PTHR15350:COP9 SIGNALOSOME COMPLEX SUBUNIT 7/DENDRITIC CELL PROTEIN GA17; MapolyID:Mapoly0041s0006","Mp4g17240","0.0005555560","10"
"Mp4g17240.2","KEGG:K12180:COPS7, CSN7, COP9 signalosome complex subunit 7; KOG:KOG3250:COP9 signalosome, subunit CSN7, [OT]; ProSiteProfiles:PS50250:PCI domain profile.; Coils:Coil; SMART:SM00088:PINT_4; PANTHER:PTHR15350:COP9 SIGNALOSOME COMPLEX SUBUNIT 7/DENDRITIC CELL PROTEIN GA17; SMART:SM00753:motif in proteasome subunits, Int-6, Nip-1 and TRIP-15; PTHR15350:SF5:COP9 SIGNALOSOME COMPLEX SUBUNIT 7; G3DSA:1.25.40.570; MapolyID:Mapoly0041s0006","Mp4g17240","0.0005555560","10"
"Mp4g17240.3","KEGG:K12180:COPS7, CSN7, COP9 signalosome complex subunit 7; KOG:KOG3250:COP9 signalosome, subunit CSN7, [OT]; PANTHER:PTHR15350:COP9 SIGNALOSOME COMPLEX SUBUNIT 7/DENDRITIC CELL PROTEIN GA17; PTHR15350:SF5:COP9 SIGNALOSOME COMPLEX SUBUNIT 7; ProSiteProfiles:PS50250:PCI domain profile.; Coils:Coil; SMART:SM00088:PINT_4; SMART:SM00753:motif in proteasome subunits, Int-6, Nip-1 and TRIP-15; G3DSA:1.25.40.570; MapolyID:Mapoly0041s0006","Mp4g17240","0.0005555560","10"
"Mp4g17240.4","KEGG:K12180:COPS7, CSN7, COP9 signalosome complex subunit 7; KOG:KOG3250:COP9 signalosome, subunit CSN7, [OT]; SMART:SM00753:motif in proteasome subunits, Int-6, Nip-1 and TRIP-15; G3DSA:1.25.40.570; ProSiteProfiles:PS50250:PCI domain profile.; PANTHER:PTHR15350:COP9 SIGNALOSOME COMPLEX SUBUNIT 7/DENDRITIC CELL PROTEIN GA17; SMART:SM00088:PINT_4; PTHR15350:SF5:COP9 SIGNALOSOME COMPLEX SUBUNIT 7; MapolyID:Mapoly0041s0006","Mp4g17240","0.0005555560","10"
"Mp4g17240.5","KEGG:K12180:COPS7, CSN7, COP9 signalosome complex subunit 7; KOG:KOG3250:COP9 signalosome, subunit CSN7, [OT]; SMART:SM00753:motif in proteasome subunits, Int-6, Nip-1 and TRIP-15; G3DSA:1.25.40.570; ProSiteProfiles:PS50250:PCI domain profile.; PANTHER:PTHR15350:COP9 SIGNALOSOME COMPLEX SUBUNIT 7/DENDRITIC CELL PROTEIN GA17; SMART:SM00088:PINT_4; PTHR15350:SF5:COP9 SIGNALOSOME COMPLEX SUBUNIT 7; MapolyID:Mapoly0041s0006","Mp4g17240","0.0005555560","10"
"Mp4g17250.1","KEGG:K04797:pfdA, PFDN5, prefoldin alpha subunit; KOG:KOG3048:Molecular chaperone Prefoldin, subunit 5, [O]; CDD:cd00584:Prefoldin_alpha; TIGRFAM:TIGR00293:TIGR00293: prefoldin, alpha subunit; Coils:Coil; G3DSA:1.10.287.370; PTHR12674:SF8:BNAA09G05390D PROTEIN; PANTHER:PTHR12674:PREFOLDIN SUBUNIT 5; Pfam:PF02996:Prefoldin subunit; SUPERFAMILY:SSF46579:Prefoldin; GO:0006457:protein folding; GO:0051082:unfolded protein binding; GO:0016272:prefoldin complex; MapolyID:Mapoly0041s0007","Mp4g17250","0.0004881122"," 7"
"Mp4g17260.1","MapolyID:Mapoly0041s0008","Mp4g17260","0.0005714290"," 2"
"Mp4g17270.1","MobiDBLite:consensus disorder prediction; Coils:Coil; MapolyID:Mapoly0041s0009","Mp4g17270","0.0031195500","24"
"Mp4g17280.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0041s0010","Mp4g17280","0.0014285700"," 3"
"Mp4g17290.1","MobiDBLite:consensus disorder prediction; PTHR36759:SF1:DYNEIN BETA CHAIN, CILIARY PROTEIN; PANTHER:PTHR36759:DYNEIN BETA CHAIN, CILIARY PROTEIN; MapolyID:Mapoly0041s0011","Mp4g17290","0.0019619046","21"
"Mp4g17290.2","MobiDBLite:consensus disorder prediction; PTHR36759:SF1:DYNEIN BETA CHAIN, CILIARY PROTEIN; PANTHER:PTHR36759:DYNEIN BETA CHAIN, CILIARY PROTEIN; MapolyID:Mapoly0041s0011","Mp4g17290","0.0019619046","21"
"Mp4g17300.1","KOG:KOG0569:Permease of the major facilitator superfamily, [G]; ProSiteProfiles:PS50850:Major facilitator superfamily (MFS) profile.; TIGRFAM:TIGR00879:SP: MFS transporter, sugar porter (SP) family; G3DSA:1.20.1250.20:MFS general substrate transporter like domains; Pfam:PF00083:Sugar (and other) transporter; PRINTS:PR00171:Sugar transporter signature; CDD:cd17315:MFS_GLUT_like; PTHR48022:SF18:MAJOR FACILITATOR, SUGAR TRANSPORTER, MAJOR FACILITATOR SUPERFAMILY-RELATED; ProSitePatterns:PS00217:Sugar transport proteins signature 2.; SUPERFAMILY:SSF103473:MFS general substrate transporter; PANTHER:PTHR48022:PLASTIDIC GLUCOSE TRANSPORTER 4; GO:0055085:transmembrane transport; GO:0016021:integral component of membrane; GO:0016020:membrane; GO:0022857:transmembrane transporter activity; MapolyID:Mapoly0041s0012","Mp4g17300","0.0010817954","15"
"Mp4g17310.1","Coils:Coil; MapolyID:Mapoly0041s0013","Mp4g17310","0.0008812040"," 4"
"Mp4g17320.1","MapolyID:Mapoly0041s0014","Mp4g17320","0.0006666670"," 3"
"Mp4g17330.1","MapolyID:Mapoly0041s0015","Mp4g17330","0.0009526545"," 7"
"Mp4g17340.1","PTHR35631:SF5; PANTHER:PTHR35631:OS08G0114150 PROTEIN; MapolyID:Mapoly0041s0016","Mp4g17340","0.0009763895"," 7"
"Mp4g17350.1","MobiDBLite:consensus disorder prediction; ProSiteProfiles:PS51061:R3H domain profile.; Coils:Coil; GO:0003676:nucleic acid binding; MapolyID:Mapoly0041s0017","Mp4g17350","0.0007460553"," 8"
"Mp4g17360.1","KEGG:K13954:yiaY, alcohol dehydrogenase [EC:1.1.1.1]; KOG:KOG3857:Alcohol dehydrogenase, class IV, [C]; Pfam:PF00465:Iron-containing alcohol dehydrogenase; CDD:cd08188:PDDH; PTHR11496:SF102:ALCOHOL DEHYDROGENASE 4; ProSitePatterns:PS00060:Iron-containing alcohol dehydrogenases signature 2.; PANTHER:PTHR11496:ALCOHOL DEHYDROGENASE; G3DSA:1.20.1090.10; G3DSA:3.40.50.1970; SUPERFAMILY:SSF56796:Dehydroquinate synthase-like; GO:0046872:metal ion binding; GO:0016491:oxidoreductase activity; MapolyID:Mapoly0041s0018","Mp4g17360","0.0009048973","12"
"Mp4g17370.1","MapolyID:Mapoly0041s0019","Mp4g17370","0.0002857140"," 1"
"Mp4g17380.1","KEGG:K13954:yiaY, alcohol dehydrogenase [EC:1.1.1.1]; KOG:KOG3857:Alcohol dehydrogenase, class IV, [C]; PTHR11496:SF102:ALCOHOL DEHYDROGENASE 4; SUPERFAMILY:SSF56796:Dehydroquinate synthase-like; CDD:cd08188:PDDH; Pfam:PF00465:Iron-containing alcohol dehydrogenase; ProSitePatterns:PS00913:Iron-containing alcohol dehydrogenases signature 1.; G3DSA:3.40.50.1970; PANTHER:PTHR11496:ALCOHOL DEHYDROGENASE; ProSitePatterns:PS00060:Iron-containing alcohol dehydrogenases signature 2.; G3DSA:1.20.1090.10; GO:0046872:metal ion binding; GO:0016491:oxidoreductase activity; MapolyID:Mapoly0041s0020","Mp4g17380",NA,NA
"Mp4g17390.1","KOG:KOG0157:Cytochrome P450 CYP4/CYP19/CYP26 subfamilies, N-term missing, [QI]; MobiDBLite:consensus disorder prediction; G3DSA:1.10.630.10:Cytochrome p450; PTHR24296:SF8:CYTOCHROME P450 704B1; Pfam:PF00067:Cytochrome P450; PANTHER:PTHR24296:CYTOCHROME P450; SUPERFAMILY:SSF48264:Cytochrome P450; GO:0005506:iron ion binding; GO:0016705:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037:heme binding; MapolyID:Mapoly0041s0021","Mp4g17390","0.0002857140"," 2"
"Mp4g17400.1","KEGG:K20495:CYP704B1, long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]; KOG:KOG0157:Cytochrome P450 CYP4/CYP19/CYP26 subfamilies, C-term missing, [QI]; Pfam:PF00067:Cytochrome P450; G3DSA:1.10.630.10:Cytochrome p450; PANTHER:PTHR24296:CYTOCHROME P450; SUPERFAMILY:SSF48264:Cytochrome P450; PTHR24296:SF8:CYTOCHROME P450 704B1; GO:0005506:iron ion binding; GO:0016705:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0020037:heme binding; MapolyID:Mapoly0041s0022","Mp4g17400","0.0009999995"," 4"
"Mp4g17410.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0041s0023","Mp4g17410","0.0010000020"," 5"
"Mp4g17420.1","MapolyID:Mapoly0041s0024","Mp4g17420","0.0011190498","12"
"Mp4g17430.1","MobiDBLite:consensus disorder prediction; PTHR31190:SF262:ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF110; PANTHER:PTHR31190:DNA-BINDING DOMAIN; Pfam:PF00847:AP2 domain; SMART:SM00380:rav1_2; G3DSA:3.30.730.10; CDD:cd00018:AP2; ProSiteProfiles:PS51032:AP2/ERF domain profile.; PRINTS:PR00367:Ethylene responsive element binding protein signature; SUPERFAMILY:SSF54171:DNA-binding domain; GO:0003700:DNA-binding transcription factor activity; GO:0003677:DNA binding; GO:0006355:regulation of transcription, DNA-templated; MapolyID:Mapoly0041s0025; MPGENES:MpERF9:transcription factor, AP2/ERF","Mp4g17430","0.0007142870"," 4"
"Mp4g23140.1","KOG:KOG2761:START domain-containing proteins involved in steroidogenesis/phosphatidylcholine transfer, [I]; PANTHER:PTHR19308:PHOSPHATIDYLCHOLINE TRANSFER PROTEIN; SUPERFAMILY:SSF55961:Bet v1-like; Pfam:PF01852:START domain; G3DSA:3.30.530.20; ProSiteProfiles:PS50848:START domain profile.; PTHR19308:SF13:POLYKETIDE CYCLASE/DEHYDRASE AND LIPID TRANSPORT SUPERFAMILY PROTEIN; GO:0008289:lipid binding; MapolyID:Mapoly0020s0077","Mp4g23140","0.0009285713","13"
"Mp4g23150.1","MapolyID:Mapoly0020s0078","Mp4g23150","0.0014763485","21"
"Mp4g23160.1","PTHR46301:SF11:F-BOX/KELCH-REPEAT PLANT PROTEIN; G3DSA:1.20.1280.50; SMART:SM00256:fbox_2; SUPERFAMILY:SSF81383:F-box domain; Pfam:PF00646:F-box domain; PANTHER:PTHR46301:F-BOX/KELCH-REPEAT PROTEIN; GO:0005515:protein binding; MapolyID:Mapoly0020s0079","Mp4g23160","0.0009287970"," 6"
"Mp4g23170.1","Pfam:PF00646:F-box domain; SUPERFAMILY:SSF81383:F-box domain; PANTHER:PTHR46301:F-BOX/KELCH-REPEAT PROTEIN; GO:0005515:protein binding; MapolyID:Mapoly0020s0080","Mp4g23170",NA,NA
"Mp4g23180.1","KEGG:K13681:FUT, xyloglucan fucosyltransferase [EC:2.4.1.-]; PANTHER:PTHR31889:FUCOSYLTRANSFERASE 2-RELATED; G3DSA:3.40.50.11350; MobiDBLite:consensus disorder prediction; Pfam:PF03254:Xyloglucan fucosyltransferase; GO:0008107:galactoside 2-alpha-L-fucosyltransferase activity; GO:0016020:membrane; GO:0042546:cell wall biogenesis","Mp4g23180","0.0017797097","20"
"Mp4g23190.1","KEGG:K00660:CHS, chalcone synthase [EC:2.3.1.74]; CDD:cd00831:CHS_like; PIRSF:PIRSF000451:PKS_III; G3DSA:3.40.47.10; MobiDBLite:consensus disorder prediction; SUPERFAMILY:SSF53901:Thiolase-like; PANTHER:PTHR11877:HYDROXYMETHYLGLUTARYL-COA SYNTHASE; Pfam:PF00195:Chalcone and stilbene synthases, N-terminal domain; Pfam:PF02797:Chalcone and stilbene synthases, C-terminal domain; GO:0016746:transferase activity, transferring acyl groups; GO:0009058:biosynthetic process; GO:0016747:transferase activity, transferring acyl groups other than amino-acyl groups; MapolyID:Mapoly0020s0082","Mp4g23190","0.0012761904","15"
"Mp4g23200.1","MobiDBLite:consensus disorder prediction; MapolyID:Mapoly0020s0083","Mp4g23200","0.0026988300","18"
